statecode,latitude,longitude
MI,43.742712,-85.505418
TX,36.056161,-102.507466
MD,39.28606,-76.64536
WI,44.907417,-91.854064
MI,45.51721,-122.99016
MI,39.614255,-119.263645
MI,39.614255,-119.263645
MI,39.614255,-119.263645
MI,39.614255,-119.263645
MI,39.614255,-119.263645
GA,30.680712,-83.218989
MI,42.836073,-84.222343
MI,42.836073,-84.222343
MI,42.998478,-82.423525
WI,43.535892,-87.816945
MI,41.885173,-86.604177
MI,41.885173,-86.604177
PA,41.773439,-107.084078
NC,35.770135,-80.328167
MN,43.665687,-93.573293
VA,36.944965,-80.954212
OR,45.237096,-122.806166
SC,32.313885,-81.057302
MI,42.271735,-84.959549
MI,42.271735,-84.959549
MI,42.271735,-84.959549
IL,41.4258,-87.7549
IL,41.4258,-87.7549
IL,41.4258,-87.7549
MN,44.320725,-93.299793
MN,44.31513,-94.454817
MN,46.479316,-96.28058
MN,45.724105,-94.950984
MN,44.795591,-93.446023
MN,43.952163,-92.068568
VA,38.40437,-78.910354
NJ,40.011253,-74.849409
MO,38.343492,-90.389016
WI,43.09604,-88.908801
SD,44.112727,-103.273075
TX,33.448589,-94.052707
IL,38.443948,-89.538451
TX,30.689189,-101.386604
SD,43.0841,-96.8025
FL,30.086855,-83.571906
LA,30.252253,-92.03883
VA,37.19873,-77.467285
VA,37.358209,-77.875781
WY,41.659338,-108.988413
AR,0.0,0.0
AR,0.0,0.0
NM,33.399331,-104.522539
MO,39.81677,-93.553337
TX,29.840758,-94.647259
IL,40.48417,-89.018673
IL,40.48417,-89.018673
IL,40.48417,-89.018673
IL,40.48417,-89.018673
IL,40.48417,-89.018673
MO,37.840337,-94.501522
NE,42.449052,-96.430121
VA,36.745761,-80.771936
MO,39.2327,-91.01738
CO,40.160151,-104.980458
KS,38.856491,-98.604683
KS,38.876262,-97.612268
OH,40.652961,-84.58168
MO,39.714239,-91.368269
FL,25.854079,-80.322392
MO,39.459825,-94.32076
MO,38.861,-91.9443
NE,40.690184,-99.379818
OH,39.150995,-82.977304
NE,41.118558,-102.949307
OR,44.436025,-117.322413
AR,35.788172,-91.642304
VA,36.75943,-81.85774
AL,30.497809,-88.335714
IA,39.614255,-119.263645
IA,39.614255,-119.263645
MO,39.0222,-94.1985
MO,37.83508,-94.324942
MI,42.869728,-85.151679
MI,42.869728,-85.151679
MI,39.614255,-119.263645
MI,39.614255,-119.263645
MI,39.614255,-119.263645
MI,39.614255,-119.263645
PA,40.580705,-77.372243
LA,30.314305,-91.832192
TN,35.029222,-85.311275
AL,33.646698,-85.506042
MO,37.069975,-93.222597
VA,36.97742,-77.395417
PA,41.197317,-79.97611
WI,43.523029,-89.539462
MO,38.287014,-90.405675
WI,43.282174,-88.198383
NY,42.396075,-73.825318
NM,35.527767,-108.743068
ND,48.209847,-101.268864
TX,31.99662,-106.586165
MO,39.35371,-94.761781
TX,32.684866,-96.621591
OH,39.9268,-83.6119
MO,37.770947,-92.407214
MO,38.816845,-90.948821
MO,37.099845,-92.065326
LA,30.312519,-91.83246
OH,39.614255,-119.263645
MO,39.784244,-94.803356
TX,33.262422,-97.176815
WA,47.440193,-121.654509
WA,47.440193,-121.654509
WA,47.440193,-121.654509
IN,41.572427,-87.127339
KY,38.015304,-84.161957
OH,41.414525,-84.096886
NM,35.182666,-107.900126
MO,40.388925,-94.877276
IA,41.006605,-91.966164
VA,38.234188,-77.502207
MO,38.77501,-90.624715
KY,38.210304,-85.348099
AR,34.401571,-92.819439
FL,27.471855,-81.44297
MO,39.929993,-91.431525
OK,34.739836,-97.260448
OK,36.93994,-97.34382
TN,35.87362,-84.237011
TX,26.385291,-98.142259
FL,30.43372,-85.427941
WY,41.777828,-107.310958
MN,43.87214,-95.113539
AZ,33.602133,-114.523475
MS,34.309657,-89.933079
TX,32.96041,-96.343227
IL,42.144757,-88.509494
